CpdClass	ENSO_Id	Smiles	NP_Like	QED	NumHA	MW	NumRings	NumRingsArom	NumRingsAli	NumHDon	NumHAcc	LogP	TPSA	NumRotBd	NumAtOx	NumAtN	NumAtHal	NumAtBridgehead	FCsp3
A	MPI_BAG_296-1	O=C(C(C=CC=C1)=C1C2)C32C(C)=NC4=CC=CC=C43	0.2	0.701	19	247.1	4	2	2	0	2	3.47	29.43	0	1	1	0	0	0.176
A	MPI_BAG_299-1	O=C(C(C=CC(OC)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43	0.29	0.8	21	277.11	4	2	2	0	3	3.48	38.66	1	2	1	0	0	0.222
A	MPI_BAG_299-2	O=C(C(C=C(OCO1)C1=C2)=C2C3)C43C(C)=NC5=CC=CC=C54	0.59	0.749	22	291.09	5	2	3	0	4	3.2	47.89	0	3	1	0	0	0.222
A	MPI_BAG_299-3	O=C(C(C=C(F)C(OC)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43	-0.02	0.806	22	295.1	4	2	2	0	3	3.62	38.66	1	2	1	1	0	0.222
A	MPI_BAG_301	O=C(C(C=CC=C1)=C1C2)C32C(C)=NC4=CC=C(C)C=C43	-0.03	0.709	20	261.12	4	2	2	0	2	3.78	29.43	0	1	1	0	0	0.222
A	MPI_BAG_303	O=C(C(C=CC=C1F)=C1C2)C32C(C)=NC4=CC=CC=C43	-0.09	0.715	20	265.09	4	2	2	0	2	3.61	29.43	0	1	1	1	0	0.176
A	MPI_BAG_304	O=C(C(C=C(C)C=C1)=C1C2)C32C(C)=NC4=CC=CC=C43	0.11	0.709	20	261.12	4	2	2	0	2	3.78	29.43	0	1	1	0	0	0.222
A	MPI_BAG_312	O=C(C(C=CC=C1F)=C1C2)C32C(C4=CC=CC=C4)=NC5=CC=CC=C53	-0.02	0.64	25	327.11	5	3	2	0	2	4.64	29.43	1	1	1	1	0	0.091
A	MPI_BAG_319	O=C(C(C=CC(F)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43	-0.16	0.715	20	265.09	4	2	2	0	2	3.61	29.43	0	1	1	1	0	0.176
A	MPI_BAG_376	O=C(C(C=C(Cl)C=C1)=C1C2)C32C(C4=CC=CC=C4)=NC5=CC=CC=C53	-0.02	0.6	25	343.08	5	3	2	0	2	5.15	29.43	1	1	1	1	0	0.091
A	MPI_BAG_377	O=C(C(C=C(Cl)C=C1)=C1C2)C32C(C)=NC4=CC=CC=C43	-0.08	0.714	20	281.06	4	2	2	0	2	4.12	29.43	0	1	1	1	0	0.176
A	MPI_BAG_379	O=C(C(C=CC=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43	-0.35	0.715	20	265.09	4	2	2	0	2	3.61	29.43	0	1	1	1	0	0.176
A	MPI_BAG_380	O=C(C(C=CC=C1)=C1C2)C32C(C)=NC4=CC=C(Cl)C=C43	-0.22	0.714	20	281.06	4	2	2	0	2	4.12	29.43	0	1	1	1	0	0.176
A	MPI_BAG_381	O=C(C(C=C(OCO1)C1=C2)=C2C3)C43C(C)=NC5=CC=C(C)C=C54	0.41	0.748	23	305.11	5	2	3	0	4	3.51	47.89	0	3	1	0	0	0.263
A	MPI_BAG_393	O=C(C(C=C(Cl)C=C1)=C1C2)C32C(C)=NC4=CC=C(C)C=C43	-0.24	0.707	21	295.08	4	2	2	0	2	4.43	29.43	0	1	1	1	0	0.222
A	MPI_BAG_427	O=C(C(C=C(C=C1)C)=C1C2)C32C(C4=CC=CC=C4)=NC5=CC=CC=C53	0.12	0.632	25	323.13	5	3	2	0	2	4.81	29.43	1	1	1	0	0	0.13
A	MPI_BAG_465	O=C(C(C=C(OCO1)C1=C2)=C2C3)C43C(C)=NC5=CC=C(F)C=C54	0.14	0.75	23	309.08	5	2	3	0	4	3.34	47.89	0	3	1	1	0	0.222
A	MPI_BAG_468	O=C(C(C=CC(F)=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43	-0.19	0.724	21	283.08	4	2	2	0	2	3.75	29.43	0	1	1	2	0	0.176
A	MPI_BAG_469	O=C(C(C=CC(OC)=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43	-0.16	0.806	22	295.1	4	2	2	0	3	3.62	38.66	1	2	1	1	0	0.222
A	MPI_BAG_470	O=C(C(C=CC(F)=C1)=C1C2)C32C(C)=NC4=CC=C(Cl)C=C43	-0.49	0.714	21	299.05	4	2	2	0	2	4.26	29.43	0	1	1	2	0	0.176
A	MPI_BAG_472	O=C(C(C=C(F)C=C1)=C1C2)C32C(C)=NC4=CC=C(C)C=C43	-0.36	0.718	21	279.11	4	2	2	0	2	3.92	29.43	0	1	1	1	0	0.222
A	MPI_BAG_474	O=C(C(C=C(OC)C=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43	-0.23	0.806	22	295.1	4	2	2	0	3	3.62	38.66	1	2	1	1	0	0.222
A	MPI_BAG_475	O=C(C(C=CC=C1F)=C1C2)C32C(C)=NC4=CC=C(Cl)C=C43	-0.45	0.714	21	299.05	4	2	2	0	2	4.26	29.43	0	1	1	2	0	0.176
A	MPI_BAG_476	O=C(C(C=CC=C1F)=C1C2)C32C(C)=NC4=CC=C(C5=CSC=C5)C=C43	-0.79	0.584	25	347.08	5	3	2	0	2	5.34	29.43	1	1	1	1	0	0.143
A	MPI_BAG_484	O=C(C(C(C=CC=C1)=C1C=C2)=C2C3)C43C(C)=NC5=CC=CC=C54	0.49	0.595	23	297.12	5	3	2	0	2	4.62	29.43	0	1	1	0	0	0.143
A	MPI_BAG_485	O=C(C(C=C(OC)C(OC)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43	0.46	0.853	23	307.12	4	2	2	0	4	3.49	47.89	2	3	1	0	0	0.263
