CpdClass	ENSO_Id	Smiles
A	MPI_BAG_296-1	O=C(C(C=CC=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_299-1	O=C(C(C=CC(OC)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_299-2	O=C(C(C=C(OCO1)C1=C2)=C2C3)C43C(C)=NC5=CC=CC=C54
A	MPI_BAG_299-3	O=C(C(C=C(F)C(OC)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_301	O=C(C(C=CC=C1)=C1C2)C32C(C)=NC4=CC=C(C)C=C43
A	MPI_BAG_303	O=C(C(C=CC=C1F)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_304	O=C(C(C=C(C)C=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_312	O=C(C(C=CC=C1F)=C1C2)C32C(C4=CC=CC=C4)=NC5=CC=CC=C53
A	MPI_BAG_319	O=C(C(C=CC(F)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_376	O=C(C(C=C(Cl)C=C1)=C1C2)C32C(C4=CC=CC=C4)=NC5=CC=CC=C53
A	MPI_BAG_377	O=C(C(C=C(Cl)C=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_379	O=C(C(C=CC=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43
A	MPI_BAG_380	O=C(C(C=CC=C1)=C1C2)C32C(C)=NC4=CC=C(Cl)C=C43
A	MPI_BAG_381	O=C(C(C=C(OCO1)C1=C2)=C2C3)C43C(C)=NC5=CC=C(C)C=C54
A	MPI_BAG_393	O=C(C(C=C(Cl)C=C1)=C1C2)C32C(C)=NC4=CC=C(C)C=C43
A	MPI_BAG_427	O=C(C(C=C(C=C1)C)=C1C2)C32C(C4=CC=CC=C4)=NC5=CC=CC=C53
A	MPI_BAG_465	O=C(C(C=C(OCO1)C1=C2)=C2C3)C43C(C)=NC5=CC=C(F)C=C54
A	MPI_BAG_468	O=C(C(C=CC(F)=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43
A	MPI_BAG_469	O=C(C(C=CC(OC)=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43
A	MPI_BAG_470	O=C(C(C=CC(F)=C1)=C1C2)C32C(C)=NC4=CC=C(Cl)C=C43
A	MPI_BAG_472	O=C(C(C=C(F)C=C1)=C1C2)C32C(C)=NC4=CC=C(C)C=C43
A	MPI_BAG_474	O=C(C(C=C(OC)C=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43
A	MPI_BAG_475	O=C(C(C=CC=C1F)=C1C2)C32C(C)=NC4=CC=C(Cl)C=C43
A	MPI_BAG_476	O=C(C(C=CC=C1F)=C1C2)C32C(C)=NC4=CC=C(C5=CSC=C5)C=C43
A	MPI_BAG_484	O=C(C(C(C=CC=C1)=C1C=C2)=C2C3)C43C(C)=NC5=CC=CC=C54
A	MPI_BAG_485	O=C(C(C=C(OC)C(OC)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_490	O=C(C(C=CC1=C2OCO1)=C2C3)C43C(C)=NC5=CC=C(F)C=C54
A	MPI_BAG_491	O=C(C(C=CC=C1)=C1C2)C32C(C4CCCC4)=NC5=CC=C(Cl)C=C53
A	MPI_BAG_494	O=C(C(C(F)=CC=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_501	O=C(C(C=CC=C1F)=C1C2)C32C(C)=NC4=CC=C(F)C=C43
A	MPI_BAG_502	O=C(C(C=C(OCO1)C1=C2)=C2C3)C43C(C)=NC5=CC=C(OC)C=C54
A	MPI_BAG_617	O=C(C(C=C(Cl)C=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43
A	MPI_BAG_618	O=C(C(C=C(OC)C(OC)=C1)=C1C2)C32C(C)=NC4=CC=C(Cl)C=C43
A	MPI_BAG_622	O=C(C(C(OC)=C(OC)C(OC)=C1)=C1C2)C32C(C)=NC4=CC=CC=C43
A	MPI_BAG_637	O=C(C(C=C(OC)C(OC)=C1)=C1C2)C32C(C)=NC4=CC=C(F)C=C43
A	MPI_BAG_638	O=C(C(C=C(OC)C(OC)=C1)=C1C2)C32C(C)=NC4=CC=C(C)C=C43
A	MPI_BAG_642	O=C(C(C=C(C)C=C1)=C1C2)C32C(C)=NC4=CC=C(Cl)C=C43
A	MPI_BAG_687	O=C(C(C=CC1=C2OCO1)=C2C3)C43C(C)=NC5=CC=CC=C54
A	MPI_BAG_776	O=C(C(C=CC=C1)=C1C2)C32C(CCC4=CC=CC=C4)=NC5=CC=CC=C53
A	MPI_BAG_777	O=C(C(C=CC(C(F)(F)F)=C1)=C1C2)C32C(C)=NC4=CC=C(C)C=C43
B	MPI_BAG_480	O=C(C(C=C(Cl)C=C1)=C1C2)[C@]32[C@H](C)NC4=CC=C(C)C=C43
B	MPI_BAG_482	O=C(C(C=CC=C1F)=C1C2)[C@]32[C@H](C)NC4=CC=CC=C43
B	MPI_BAG_489	O=C(C(C=CC=C1F)=C1C2)[C@]32[C@H](C)NC4=CC=C(Cl)C=C43
B	MPI_BAG_495	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)NC4=CC=CC=C43
B	MPI_BAG_509	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)NC4=CC=C(C)C=C43
B	MPI_BAG_560	O=C(C(C=CC=C1F)=C1C2)[C@]32[C@H](C)NC4=CC=C(F)C=C43
B	MPI_BAG_673	O=C(C(C=CC(F)=C1)=C1C2)[C@]32[C@H](C)NC4=CC=CC=C43
B	MPI_BAG_674	O=C(C(C=CC(F)=C1)=C1C2)[C@]32[C@H](C)NC4=CC=C(Cl)C=C43
B	MPI_BAG_704	O=C(C(C=C(OCO1)C1=C2)=C2C3)[C@]43[C@H](C)NC5=CC=C(C)C=C54
B	MPI_BAG_705	O=C(C(C=C(OCO1)C1=C2)=C2C3)[C@]43[C@H](C)NC5=CC=C(F)C=C54
B	MPI_BAG_706	O=C(C(C=C(OC)C=C1)=C1C2)[C@]32[C@H](C)NC4=CC=C(F)C=C43
B	MPI_BAG_708	O=C(C(C=CC1=C2C=CC=C1)=C2C3)[C@]43[C@H](C)NC5=CC=CC=C54
B	MPI_BAG_709	O=C(C(C=C(OC)C(OC)=C1)=C1C2)[C@]32[C@H](C)NC4=CC=CC=C43
B	MPI_BAG_764	O=C(C(C=C(Cl)C=C1)=C1C2)[C@]32[C@H](C)NC4=CC=C(F)C=C43
B	MPI_BAG_768	O=C(C(C=C(OC)C(OC)=C1)=C1C2)[C@]32[C@H](C)NC4=CC=C(F)C=C43
B	MPI_BAG_769	O=C(C(C=C(OC)C(OC)=C1)=C1C2)[C@]32[C@H](C)NC4=CC=C(C)C=C43
B	MPI_BAG_770	O=C(C(C=CC(OC)=C1)=C1C2)[C@]32[C@H](C)NC4=CC=CC=C43
B	MPI_BAG_807	O=C(C(C=CC1=C2OCO1)=C2C3)[C@]43[C@H](C)NC5=CC=CC=C54
C	MPI_BAG_546	O=C(C(C=CC=C1F)=C1C2)[C@]32[C@H](C)N(S(=O)(C4=CC=C(C)C=C4)=O)C5=CC=CC=C53
C	MPI_BAG_551	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(S(=O)(C4=CC=C(C)C=C4)=O)C5=CC=CC=C53
C	MPI_BAG_588	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(C(C=C)=O)C4=CC=CC=C43
C	MPI_BAG_589	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(CC=C)C4=CC=CC=C43
C	MPI_BAG_591	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(CC4=CC(Br)=CC=C4)C5=CC=CC=C53
C	MPI_BAG_593	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(CC#C)C4=CC=CC=C43
C	MPI_BAG_631	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(C(C(Cl)(Cl)Cl)=O)C4=CC=CC=C43
C	MPI_BAG_672	O=C1C2=C(C=CC=C2)C[C@@]31[C@H](C)N(C(OCC)=O)C4=CC=CC=C43
C	MPI_BAG_691	O=C(C(C=CC(F)=C1)=C1C2)[C@]32[C@H](C)N(S(C4=CC=C(C(C)(C)C)C=C4)(=O)=O)C5=CC=CC=C53
C	MPI_BAG_692	O=C(C(C=CC(F)=C1)=C1C2)[C@]32[C@H](C)N(S(C4=CC(F)=CC(F)=C4)(=O)=O)C5=CC=CC=C53
C	MPI_BAG_693	O=C(C(C=CC(F)=C1)=C1C2)[C@]32[C@H](C)N(S(C4=CC=C(F)C=C4Cl)(=O)=O)C5=CC=CC=C53
C	MPI_BAG_694	O=C(C(C=CC(F)=C1)=C1C2)[C@]32[C@H](C)N(S(C4=CC=C(C(C)(C)C)C=C4)(=O)=O)C5=CC=C(Cl)C=C53
C	MPI_BAG_746	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(S(=O)(C4=CC(F)=C(C)C=C4)=O)C5=CC=CC=C53
C	MPI_BAG_747	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(S(=O)(C4=CC=C(C(F)(F)F)C=C4)=O)C5=CC=CC=C53
C	MPI_BAG_803	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(C(CCl)=O)C4=CC=CC=C43
C	MPI_BAG_810	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(S(=O)(C4=CC=C(Br)C=C4)=O)C5=CC=CC=C53
C	MPI_BAG_811	O=C(C(C=CC=C1)=C1C2)[C@]32[C@H](C)N(S(CC(F)(F)F)(=O)=O)C4=CC=CC=C43
D	MPI_BAG_574	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N4C(CBr)=O)C4=C
D	MPI_BAG_648	C=C1N(C(CCl)=O)C2=CC=CC=C2C13CC(C=CC4=C5C=CC=C4)=C5C3=O
D	MPI_BAG_649	C=C1N(C(CCl)=O)C2=CC=C(F)C=C2C13CC(C=CC(Cl)=C4)=C4C3=O
D	MPI_BAG_650	C=C1N(C(CCl)=O)C2=CC=C(Cl)C=C2C13CC(C=C(OC)C(OC)=C4)=C4C3=O
D	MPI_BAG_651	C=C1N(C(CCl)=O)C2=CC=C(F)C=C2C13CC(C=CC(OC)=C4)=C4C3=O
D	MPI_BAG_657	C=C1N(C(COC2=CC=CC=C2)=O)C3=CC=CC=C3C14CC(C=CC=C5)=C5C4=O
D	MPI_BAG_669	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N4C(C)=O)C4=C
D	MPI_BAG_676	C=C1N(C(CCl)=O)C2=CC=C(Cl)C=C2C13CC(C=C(F)C=C4)=C4C3=O
D	MPI_BAG_677	C=C1N(C(CCl)=O)C2=CC=CC=C2C13CC(C=C(F)C=C4)=C4C3=O
D	MPI_BAG_802	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N4C(CCl)=O)C4=C
E	MPI_BAG_597	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=CC=C6)C5=O
E	MPI_BAG_605	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=C([N+]([O-])=O)C=C6)C5=O
E	MPI_BAG_606	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=C(OC)C=C6)C5=O
E	MPI_BAG_609	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=C(C)C=C6)C5=O
E	MPI_BAG_610	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=C(F)C(F)=C6)C5=O
E	MPI_BAG_611	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(SC=C6)C5=O
E	MPI_BAG_623	O=C(C(C=C(Cl)C=C1)=C1C2)C2(C3=CC(F)=CC=C3N45)C4=CC6=C(C=CC=C6)C5=O
E	MPI_BAG_625	O=C(C(C=CC=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=CC(Cl)=C6)C5=O
E	MPI_BAG_635	O=C(C(C=CC(F)=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=CC=C6)C5=O
E	MPI_BAG_639	O=C(C(C(C=CC=C1)=C1C=C2)=C2C3)C3(C4=CC=CC=C4N56)C5=CC7=C(C=CC=C7)C6=O
E	MPI_BAG_640	O=C(C(C=C(Cl)C=C1)=C1C2)C2(C3=CC(F)=CC=C3N45)C4=CC6=C(C=C(C)C=C6)C5=O
E	MPI_BAG_644	O=C(C(C=C(OC)C(OC)=C1)=C1C2)C2(C3=CC=CC=C3N45)C4=CC6=C(C=C(OC)C=C6)C5=O
E	MPI_BAG_645	O=C(C(C(C=CC=C1)=C1C=C2)=C2C3)C3(C4=CC=CC=C4N56)C5=CC7=C(C=C(OC)C=C7)C6=O
